start,end,text,speaker
0.425,1.005,Okay.,SPEAKER_01
1.785,4.125,Uh little boy's about to,SPEAKER_01
4.505,6.125,he's getting into the cookie jar.,SPEAKER_01
6.385,7.385,Got up on a stool.,SPEAKER_01
8.125,14.285,"Uh handing them off to obviously probably his little sister, but in the meantime the stool is about to fall over",SPEAKER_01
15.365,16.865,before she really gets any.,SPEAKER_01
17.325,19.205,Mother's preoccupied at the sink.,SPEAKER_01
19.885,24.025,She's washing dishes and she's committing the uh water to over uh,SPEAKER_01
24.665,25.645,overflow.,SPEAKER_01
27.025,31.605,So she herself is starting to stand her panel pedal and she seems to be unaware of what's going on.,SPEAKER_01
32.085,32.825,behind her.,SPEAKER_00
33.385,38.745,Obviously it's spring or summer because the plants are blooming outside through the uh,SPEAKER_00
39.305,40.205,kitchen window.,SPEAKER_00
41.585,43.405,Um you didn't say what's wrong.,SPEAKER_00
43.765,45.565,I mean this is why I'm supposed to be taken out.,SPEAKER_00
46.765,48.445,Tell me everything that you see going on.,SPEAKER_01
52.625,53.165,Uh,SPEAKER_00
54.785,55.385,that's about it.,SPEAKER_00
