start,end,text,speaker
0.345,1.045,There it is.,SPEAKER_00
2.925,4.765,He pictures in in a kitchen,SPEAKER_01
5.065,6.725,"uh with a family, a",SPEAKER_01
7.465,8.005,uh,SPEAKER_01
8.465,9.805,mother and uh,SPEAKER_01
10.625,11.725,"son and daughter,",SPEAKER_01
11.945,13.265,and the son is,SPEAKER_01
14.185,15.985,"uh up in the cookie jar,",SPEAKER_01
16.305,19.865,"the uh cupboard door is open, he's getting cookies from the jar,",SPEAKER_01
20.005,22.225,he's standing on a stool which is,SPEAKER_01
22.925,25.185,to in the process of toppling over.,SPEAKER_01
26.005,29.625,"The little girl's holding out her hand for a cookie, and she's also",SPEAKER_01
29.865,34.145,"has her finger to her lips, shushing him so he doesn't make any noise.",SPEAKER_01
34.905,39.965,Uh the mother seems to be oblivious to what's going on. She's standing there wiping,SPEAKER_01
40.245,41.325,uh a dish,SPEAKER_01
42.005,46.405,"and uh the tap water is running, the sink is overflowing",SPEAKER_01
47.025,50.565,uh down onto the floor and uh she's standing in a puddle.,SPEAKER_01
51.765,52.345,Um,SPEAKER_01
53.065,55.725,uh look outside and and uh,SPEAKER_01
55.725,56.825,Curtains are open,SPEAKER_00
57.105,62.965,"and see what looks like could be a garage or an extension of the house, shrubbery, path,",SPEAKER_00
63.205,63.865,tree.,SPEAKER_00
64.805,68.665,Uh going back in the kitchen on the counter beside her are,SPEAKER_00
69.005,72.685,it is another plate and uh cream and sugar,SPEAKER_00
73.145,73.925,bowl set.,SPEAKER_00
76.125,77.065,Um,SPEAKER_00
81.485,86.165,"the little boy's uh shoes, he looks like he has jogging shoes on and low.",SPEAKER_00
87.125,92.705,um socks and he's he's wearing uh shorts and a sh short sleeve shirt.,SPEAKER_00
93.625,97.005,"Histor is wearing what amounts to sort of a mini dress,",SPEAKER_00
97.605,100.125,mini skirt with uh sandals,SPEAKER_00
102.425,107.825,and uh let's see that or ruffled ruffled curtains at the at the window that are drawn back by,SPEAKER_00
108.385,109.325,draw drapes.,SPEAKER_00
110.585,115.125,And uh the cupboards all have recessed handles. Well no they're not recessed they,SPEAKER_00
115.845,119.485,uh at first glance they're recessed but actually they protrude out from the,SPEAKER_00
119.785,120.405,doors.,SPEAKER_00
122.125,124.805,And also copyright 1972.,SPEAKER_00
125.465,126.405,Okay.,SPEAKER_01
126.865,127.925,Thank you.,SPEAKER_01
