start,end,speaker,text
0.285,2.245,SPEAKER_00,"Okay, I'm gonna leave the tape recorder on"
2.445,4.025,SPEAKER_00,"and I'm gonna show you a picture."
4.165,9.945,SPEAKER_00,"It has a lot of action going on in it. Everything that you tell me everything that you see going on in the picture."
16.245,18.585,SPEAKER_01,"Uhhuh, there's a little boy's"
19.745,27.965,SPEAKER_01,"taking a cookie out of the cookie jar and giving it to his sister and the the stool that he's standing on is gonna fall"
28.665,32.865,SPEAKER_01,"and the the mother's back is turned and she's"
33.125,35.805,SPEAKER_01,"the water is overflowing in the sink"
36.645,39.225,SPEAKER_01,"and uh she's wiping the dish"
40.525,41.485,SPEAKER_01,"and uh"
45.345,47.105,SPEAKER_01,"the w the window's open"
47.905,51.345,SPEAKER_01,"and she's probably looking out the window and missing the water."
51.725,52.685,SPEAKER_01,"Overflowing."
