start,end,text,speaker
0.365,2.305,Do you see going on in this picture?,SPEAKER_00
7.685,8.365,"Well,",SPEAKER_01
8.885,10.365,the mother's uh,SPEAKER_01
10.985,13.825,doing the dishes and line the sink to run o run over.,SPEAKER_01
15.225,18.085,The kids are uh boys in the cookie jar,SPEAKER_01
19.245,19.905,and the,SPEAKER_01
19.905,22.025,The stand that he's standing on is tilting over.,SPEAKER_00
24.225,25.005,And um,SPEAKER_00
27.185,28.485,I don't know what the girl's doing.,SPEAKER_00
28.945,30.485,Gonna tell on him or do something.,SPEAKER_00
33.545,35.805,And then there's some people out here behind the garage.,SPEAKER_00
36.505,37.985,"I don't know what they're doing, but see them.",SPEAKER_00
38.585,39.105,Mm-hmm.,SPEAKER_01
