start,end,speaker,text
2.005,3.525,SPEAKER_00,"So"
3.525,6.245,SPEAKER_01,"Dog, cow, cat,"
7.425,8.085,SPEAKER_01,"horse,"
9.265,9.725,SPEAKER_01,"sheep,"
11.625,13.665,SPEAKER_01,"mule, donkey,"
20.805,24.125,SPEAKER_01,"deer, antelope, bear,"
29.965,31.965,SPEAKER_01,"raccoon, possum,"
33.885,34.585,SPEAKER_01,"groundhog,"
36.545,37.225,SPEAKER_01,"fox,"
38.385,39.065,SPEAKER_01,"chipmunk,"
43.185,43.785,SPEAKER_01,"weasel,"
44.825,46.545,SPEAKER_01,"mink, lynx,"
51.925,52.605,SPEAKER_01,"caribou,"
54.185,55.845,SPEAKER_01,"elk, moose,"
74.285,75.765,SPEAKER_00,"fire, front,"
77.425,77.985,SPEAKER_00,"foam,"
79.905,80.365,SPEAKER_00,"fish,"
82.665,83.225,SPEAKER_00,"fan,"
84.745,86.745,SPEAKER_00,"frame, from,"
90.765,91.365,SPEAKER_00,"frat,"
92.605,93.305,SPEAKER_00,"fraternity."
97.645,98.185,SPEAKER_01,"fan,"
103.365,103.945,SPEAKER_01,"flame,"
107.485,108.025,SPEAKER_01,"Flaunt,"
110.145,110.685,SPEAKER_01,"flat,"
114.345,114.665,SPEAKER_01,"flip,"
117.485,117.985,SPEAKER_01,"flap,"
121.485,122.005,SPEAKER_01,"flake,"
127.385,127.865,SPEAKER_01,"frog,"
131.985,132.485,SPEAKER_01,"from"
