start,end,speaker,text
0.005,1.165,SPEAKER_01,"And there's the picture."
4.285,6.145,SPEAKER_00,"Uh, the water's running over."
7.185,8.085,SPEAKER_00,"The mother's"
8.445,9.585,SPEAKER_00,"drying dishes."
10.745,11.985,SPEAKER_00,"The boy is"
13.445,14.885,SPEAKER_00,"stealing cookies"
15.925,17.705,SPEAKER_00,"and the girl is taking one."
18.705,21.505,SPEAKER_00,"And the boy is gonna fall off the stool"
23.245,26.005,SPEAKER_00,"and uh the water is running."
32.905,34.465,SPEAKER_01,"When the window's open"
36.725,38.265,SPEAKER_01,"and the grass is growing,"
40.225,41.045,SPEAKER_00,"Okay."
43.685,44.825,SPEAKER_01,"it's all the action."
45.025,46.025,SPEAKER_00,"Okay, good."
49.205,49.765,SPEAKER_01,"Curtain."
