start,end,speaker,text
0.005,2.545,SPEAKER_01,"Only everything that you see going on in the picture."
3.165,4.665,SPEAKER_01,"What's happening in that picture?"
5.485,7.445,SPEAKER_00,"Man, they've got boys going"
8.245,10.185,SPEAKER_00,"into the cookie jar."
12.305,13.825,SPEAKER_00,"And the mother is"
16.865,17.905,SPEAKER_00,"in here,"
18.365,19.185,SPEAKER_00,"over here."
20.585,21.665,SPEAKER_00,"Cookie jar."
22.725,23.845,SPEAKER_00,"The guy's going into the"
24.305,25.165,SPEAKER_00,"cookie jar."
25.705,26.625,SPEAKER_00,"Mother's..."
37.505,38.345,SPEAKER_01,"On the dishes,"
43.865,45.145,SPEAKER_01,"we're just going to take"
62.865,63.485,SPEAKER_01,"curtains."
70.745,71.405,SPEAKER_00,"What's happening over here?"
73.245,73.965,SPEAKER_01,"Over here,"
90.285,91.025,SPEAKER_01,"we'll show you."
92.965,93.585,SPEAKER_01,"That's it."
135.905,136.565,SPEAKER_00,"Like water."
141.645,142.325,SPEAKER_01,"What's it doing?"
150.945,151.785,SPEAKER_00,"Cleaning dishes."
152.685,152.985,SPEAKER_01,"Okay,"
154.065,154.685,SPEAKER_01,"thank you."
