start,end,text,speaker
0.005,0.665,Here's the picture.,SPEAKER_01
3.465,6.445,"Well, well, well, we got a",SPEAKER_00
7.865,10.865,faucet turned on and water's overflowing,SPEAKER_00
11.425,13.105,from the sink onto the floor.,SPEAKER_00
17.765,21.165,"Grass is growing on the outside, trees are growing.",SPEAKER_00
22.445,25.245,No indication that wind is coming in the window,SPEAKER_00
26.785,31.085,or that the window's open. So can't say that it might be open because,SPEAKER_00
31.445,32.505,it might have me.,SPEAKER_00
33.485,38.805,"And it looks like there's a mother there who's washing or drying dishes,",SPEAKER_00
40.045,42.285,and uh she's standing in the water.,SPEAKER_00
43.865,44.765,And,SPEAKER_00
45.225,47.205,Johnny over there is trying to,SPEAKER_00
47.965,52.485,take some cookies out of the cookie jar and he's uh falling off his,SPEAKER_00
53.125,54.085,little spool.,SPEAKER_00
55.485,55.725,And,SPEAKER_00
55.725,60.005,And he's handing a cookie while he's falling to his,SPEAKER_01
60.805,62.265,"sister, I suppose,",SPEAKER_01
63.545,64.985,who's reaching up to get it.,SPEAKER_01
65.725,67.505,And it looks like she's also putting a,SPEAKER_01
67.745,69.025,finger in her nose.,SPEAKER_01
70.525,71.585,Maybe she's popping.,SPEAKER_01
78.005,79.825,I think that's about all the action.,SPEAKER_01
81.225,83.645,"Johnny, of course, is reaching into the cookie jar.",SPEAKER_01
