start,end,text,speaker
0.685,1.505,Can start now.,SPEAKER_00
1.925,6.285,"Okay, the boy is taking cookies out of a closet",SPEAKER_01
6.945,10.665,with one hand trying to give the cookies to his sister with another,SPEAKER_01
11.405,15.145,while he is falling off a three three prong stool.,SPEAKER_01
16.105,18.545,His mother is washing dishes,SPEAKER_01
19.445,19.905,and,SPEAKER_01
19.905,23.625,And the dishwasher is overflowing onto the floor,SPEAKER_00
24.505,26.705,and the curtains are billowing.,SPEAKER_00
26.965,29.045,And the girl is eating,SPEAKER_00
29.925,30.325,or,SPEAKER_00
31.165,31.705,toying.,SPEAKER_00
32.345,33.325,Difficult to tell.,SPEAKER_00
34.005,35.885,That's the only action I can see.,SPEAKER_00
36.305,37.065,Okay good.,SPEAKER_01
